7934
; High-resolution solar spectrum between 800-1150 A. 
; Based on measurements with SOHO/SUMER (Curdt et al., 1997)
; wave (A)   flux (photons in arbitrary units)
821.21667    3.91610E+07
821.26123    3.77360E+07
821.30579    3.72225E+07
821.35034    3.79406E+07
821.39496    3.95352E+07
821.43951    4.02576E+07
821.48407    3.92449E+07
821.52863    3.87444E+07
821.57318    3.75401E+07
821.61774    3.85852E+07
821.66229    3.94385E+07
821.70691    3.93561E+07
821.75146    3.96179E+07
821.79602    4.01502E+07
821.84058    4.12125E+07
821.88513    4.19827E+07
821.92975    4.19657E+07
821.97430    4.13283E+07
822.01886    3.97054E+07
822.06342    3.95820E+07
822.10797    4.01505E+07
822.15259    4.02258E+07
822.19714    4.15858E+07
822.24170    4.15088E+07
822.28625    4.22037E+07
822.33081    4.24376E+07
822.37543    4.16652E+07
822.41998    4.26456E+07
822.46454    4.68961E+07
822.50909    5.04300E+07
822.55365    5.22587E+07
822.59827    5.15786E+07
822.64282    4.76732E+07
822.68738    4.49617E+07
822.73193    4.34660E+07
822.77649    4.26814E+07
822.82111    4.20084E+07
822.86566    4.08345E+07
822.91022    3.96756E+07
822.95477    3.94877E+07
822.99939    3.99381E+07
823.04395    4.20741E+07
823.08850    4.22212E+07
823.13306    4.22478E+07
823.17761    4.16645E+07
823.22223    4.15634E+07
823.26678    4.20479E+07
823.31134    4.28485E+07
823.35590    4.46522E+07
823.40051    4.57796E+07
823.44507    4.68849E+07
823.48962    4.65248E+07
823.53418    4.57612E+07
823.57880    4.35794E+07
823.62335    4.17200E+07
823.66791    4.20524E+07
823.71246    4.12521E+07
823.75708    4.09639E+07
823.80164    4.04347E+07
823.84619    4.10003E+07
823.89075    4.09604E+07
823.93536    4.04603E+07
823.97992    4.07749E+07
824.02448    4.11631E+07
824.06903    4.07239E+07
824.11365    4.01740E+07
824.15820    4.05308E+07
824.20276    4.06954E+07
824.24738    4.16109E+07
824.29193    4.15729E+07
824.33649    4.36494E+07
824.38104    4.55515E+07
824.42566    4.60398E+07
824.47021    4.52932E+07
824.51477    4.45371E+07
824.55939    4.37101E+07
824.60394    4.35409E+07
824.64850    4.42262E+07
824.69305    4.47626E+07
824.73767    4.34109E+07
824.78223    4.24941E+07
824.82678    4.21830E+07
824.87140    4.13722E+07
824.91595    4.12680E+07
824.96051    4.24523E+07
825.00513    4.39889E+07
825.04968    4.45147E+07
825.09424    4.40303E+07
825.13885    4.29311E+07
825.18341    4.23081E+07
825.22797    4.18601E+07
825.27258    4.20493E+07
825.31714    4.18392E+07
825.36169    4.25075E+07
825.40625    4.16108E+07
825.45087    4.14358E+07
825.49542    4.12405E+07
825.54004    4.06197E+07
825.58459    4.23620E+07
825.62915    4.34021E+07
825.67377    4.38314E+07
825.71832    4.54799E+07
825.76288    4.36101E+07
825.80750    4.14108E+07
825.85205    4.25814E+07
825.89661    4.48140E+07
825.94122    4.57084E+07
825.98578    4.44994E+07
826.03033    4.52838E+07
826.07495    4.53814E+07
826.11951    4.49185E+07
826.16406    4.48082E+07
826.20868    4.41619E+07
826.25323    4.43058E+07
826.29779    4.46567E+07
826.34241    4.35087E+07
826.38696    4.29947E+07
826.43158    4.28704E+07
826.47614    4.21691E+07
826.52069    4.33256E+07
826.56531    4.33176E+07
826.60986    4.34946E+07
826.65448    4.33468E+07
826.69904    4.25058E+07
826.74359    4.26817E+07
826.78821    4.34049E+07
826.83276    4.48224E+07
826.87732    4.48649E+07
826.92194    4.66049E+07
826.96649    4.65896E+07
826.99420    4.62958E+07
827.03870    4.43702E+07
827.08325    4.46354E+07
827.12775    4.50876E+07
827.17224    4.41957E+07
827.21680    4.55196E+07
827.26129    4.57583E+07
827.30579    4.55544E+07
827.35028    4.57019E+07
827.39484    4.70330E+07
827.43933    4.60038E+07
827.48389    4.70042E+07
827.52838    4.67761E+07
827.57288    4.74690E+07
827.61743    4.76085E+07
827.66193    4.72085E+07
827.70642    4.68750E+07
827.75098    4.82930E+07
827.79547    4.69801E+07
827.83997    4.61366E+07
827.88452    4.69755E+07
