# 13C16O photoabsorption. 300K. Generated by Alan Heays 2016-04-21.
# wavelength(nm) cross_section(cm2)
89.63520 0.00000e+00
89.63530 0.00000e+00
89.63540 0.00000e+00
89.63550 0.00000e+00
89.63560 0.00000e+00
89.63570 0.00000e+00
89.63580 0.00000e+00
89.63590 0.00000e+00
89.63600 0.00000e+00
89.63610 0.00000e+00
89.63620 0.00000e+00
89.63630 0.00000e+00
89.63640 0.00000e+00
89.63650 0.00000e+00
89.63660 0.00000e+00
89.63670 0.00000e+00
89.63680 0.00000e+00
89.63690 0.00000e+00
89.63700 0.00000e+00
89.63710 0.00000e+00
89.63720 0.00000e+00
89.63730 0.00000e+00
89.63740 0.00000e+00
89.63750 0.00000e+00
89.63760 0.00000e+00
89.63770 0.00000e+00
89.63780 0.00000e+00
89.63790 0.00000e+00
89.63800 0.00000e+00
89.63810 0.00000e+00
89.63820 0.00000e+00
89.63830 0.00000e+00
89.63840 0.00000e+00
89.63850 0.00000e+00
89.63860 0.00000e+00
89.63870 0.00000e+00
89.63880 0.00000e+00
89.63890 0.00000e+00
89.63900 0.00000e+00
89.63910 0.00000e+00
89.63920 0.00000e+00
89.63930 0.00000e+00
89.63940 0.00000e+00
89.63950 0.00000e+00
89.63960 0.00000e+00
89.63970 0.00000e+00
89.63980 0.00000e+00
89.63990 0.00000e+00
89.64000 0.00000e+00
89.64010 0.00000e+00
89.64020 0.00000e+00
89.64030 0.00000e+00
89.64040 1.70171e-17
89.64050 1.16130e-17
89.64060 6.31803e-18
89.64070 4.11036e-18
89.64080 6.26690e-18
89.64090 1.21180e-17
89.64100 1.90041e-17
89.64110 2.33473e-17
89.64120 2.23783e-17
89.64130 1.58309e-17
89.64140 6.31766e-18
89.64150 -2.45249e-18
89.64160 -7.62678e-18
89.64170 -7.92690e-18
89.64180 -3.91793e-18
89.64190 2.20561e-18
89.64200 7.07896e-18
89.64210 7.85305e-18
89.64220 3.69863e-18
89.64230 -3.61877e-18
89.64240 -1.09753e-17
89.64250 -1.53667e-17
89.64260 -1.51752e-17
89.64270 -1.04938e-17
89.64280 -2.98950e-18
89.64290 4.41332e-18
89.64300 8.54626e-18
89.64310 7.58789e-18
89.64320 2.32015e-18
89.64330 -4.56393e-18
89.64340 -9.96558e-18
89.64350 -1.16592e-17
89.64360 -8.82108e-18
89.64370 -2.08906e-18
89.64380 6.65796e-18
89.64390 1.48237e-17
89.64400 2.00262e-17
89.64410 2.11248e-17
89.64420 1.87149e-17
89.64430 1.45801e-17
89.64440 1.05074e-17
89.64450 7.54288e-18
89.64460 5.77529e-18
89.64470 4.61068e-18
89.64480 3.20952e-18
89.64490 1.06420e-18
89.64500 -1.70306e-18
89.64510 -4.43239e-18
89.64520 -6.20226e-18
89.64530 -6.29309e-18
89.64540 -4.46898e-18
89.64550 -1.00826e-18
89.64560 3.36501e-18
89.64570 7.68124e-18
89.64580 1.09365e-17
89.64590 1.25146e-17
89.64600 1.21640e-17
89.64610 1.00233e-17
89.64620 6.44580e-18
89.64630 2.03260e-18
89.64640 -2.57867e-18
89.64650 -6.71168e-18
89.64660 -9.72178e-18
89.64670 -1.11134e-17
89.64680 -1.07183e-17
89.64690 -8.85956e-18
89.64700 -6.32262e-18
89.64710 -4.23327e-18
89.64720 -3.68267e-18
89.64730 -5.24883e-18
89.64740 -8.62217e-18
89.64750 -1.27386e-17
89.64760 -1.62082e-17
89.64770 -1.78475e-17
89.64780 -1.70570e-17
89.64790 -1.40435e-17
89.64800 -9.76022e-18
89.64810 -5.62959e-18
89.64820 -3.03084e-18
89.64830 -2.68780e-18
89.64840 -4.31266e-18
89.64850 -6.74937e-18
89.64860 -8.59441e-18
89.64870 -8.78111e-18
89.64880 -6.93120e-18
89.64890 -3.52143e-18
89.64900 3.43662e-19
89.64910 3.34124e-18
89.64920 4.48518e-18
89.64930 3.57354e-18
89.64940 1.29085e-18
89.64950 -1.16040e-18
89.64960 -2.67301e-18
89.64970 -2.61447e-18
89.64980 -1.00384e-18
89.64990 1.55962e-18
89.65000 4.09388e-18
89.65010 5.74228e-18
89.65020 6.08540e-18
89.65030 5.29793e-18
89.65040 3.99005e-18
89.65050 2.88581e-18
89.65060 2.45033e-18
89.65070 2.69083e-18
89.65080 3.20766e-18
89.65090 3.39054e-18
89.65100 2.73748e-18
89.65110 1.15351e-18
89.65120 -9.80977e-19
89.65130 -2.95975e-18
89.65140 -4.06139e-18
89.65150 -3.84169e-18
89.65160 -2.35715e-18
89.65170 -1.87384e-19
89.65180 1.73976e-18
89.65190 2.46761e-18
89.65200 1.44134e-18
89.65210 -1.19278e-18
89.65220 -4.62809e-18
89.65230 -7.73327e-18
89.65240 -9.48632e-18
89.65250 -9.30778e-18
89.65260 -7.27716e-18
89.65270 -4.10701e-18
89.65280 -9.41601e-19
89.65290 1.04987e-18
89.65300 1.14755e-18
89.65310 -5.51957e-19
89.65320 -3.21302e-18
89.65330 -5.69503e-18
89.65340 -7.06794e-18
89.65350 -6.98743e-18
89.65360 -5.81751e-18
89.65370 -4.51649e-18
89.65380 -4.16010e-18
89.65390 -5.40758e-18
89.65400 -8.05595e-18
89.65410 -1.10926e-17
89.65420 -1.30410e-17
89.65430 -1.26571e-17
89.65440 -9.40366e-18
89.65450 -3.70347e-18
89.65460 3.02913e-18
89.65470 8.65439e-18
89.65480 1.10863e-17
89.65490 9.57888e-18
89.65500 5.04261e-18
89.65510 -3.20123e-19
89.65520 -4.15205e-18
89.65530 -4.75486e-18
89.65540 -1.71507e-18
89.65550 4.06320e-18
89.65560 1.05273e-17
89.65570 1.51015e-17
89.65580 1.58120e-17
89.65590 1.24140e-17
89.65600 6.60664e-18
89.65610 9.61593e-19
89.65620 -2.23295e-18
89.65630 -1.70889e-18
89.65640 2.37220e-18
89.65650 8.57536e-18
89.65660 1.45054e-17
89.65670 1.76153e-17
89.65680 1.63241e-17
89.65690 1.08919e-17
89.65700 3.07124e-18
89.65710 -4.93603e-18
89.65720 -1.14387e-17
89.65730 -1.56065e-17
89.65740 -1.73879e-17
89.65750 -1.73204e-17
89.65760 -1.60019e-17
89.65770 -1.38203e-17
89.65780 -1.08017e-17
89.65790 -6.84151e-18
89.65800 -1.90073e-18
89.65810 3.62289e-18
89.65820 8.74839e-18
89.65830 1.21463e-17
89.65840 1.26541e-17
89.65850 9.98356e-18
89.65860 4.98559e-18
89.65870 -7.47618e-19
89.65880 -5.56008e-18
89.65890 -8.33151e-18
89.65900 -8.70441e-18
89.65910 -7.16385e-18
89.65920 -4.68989e-18
89.65930 -2.32025e-18
89.65940 -6.69772e-19
89.65950 3.12345e-19
89.65960 1.25271e-18
89.65970 2.90990e-18
89.65980 5.64274e-18
89.65990 9.11366e-18
89.66000 1.22682e-17
89.66010 1.36845e-17
89.66020 1.23998e-17
89.66030 8.43258e-18
89.66040 2.90509e-18
89.66050 -2.51769e-18
89.66060 -6.18003e-18
89.66070 -7.13016e-18
89.66080 -5.27275e-18
89.66090 -1.27811e-18
89.66100 3.61532e-18
89.66110 7.94202e-18
89.66120 1.04811e-17
89.66130 1.07641e-17
89.66140 8.96755e-18
89.66150 5.70778e-18
89.66160 1.76450e-18
89.66170 -2.25150e-18
89.66180 -5.81481e-18
89.66190 -8.39759e-18
89.66200 -9.41536e-18
89.66210 -8.29882e-18
89.66220 -4.71847e-18
89.66230 1.18060e-18
89.66240 8.54922e-18
89.66250 1.58545e-17
89.66260 2.12085e-17
89.66270 2.30789e-17
89.66280 2.13495e-17
89.66290 1.72851e-17
89.66300 1.29171e-17
89.66310 1.00161e-17
89.66320 9.41744e-18
89.66330 1.06136e-17
89.66340 1.19751e-17
89.66350 1.14745e-17
89.66360 7.72069e-18
89.66370 9.85356e-19
89.66380 -6.76734e-18
89.66390 -1.29855e-17
89.66400 -1.54660e-17
89.66410 -1.30709e-17
89.66420 -6.02569e-18
89.66430 3.72486e-18
89.66440 1.30055e-17
89.66450 1.82633e-17
89.66460 1.73669e-17
89.66470 1.08457e-17
89.66480 1.54748e-18
89.66490 -7.22614e-18
89.66500 -1.33482e-17
89.66510 -1.61666e-17
89.66520 -1.63830e-17
89.66530 -1.54841e-17
89.66540 -1.49563e-17
89.66550 -1.54087e-17
89.66560 -1.62363e-17
89.66570 -1.60050e-17
89.66580 -1.32311e-17
89.66590 -7.31811e-18
89.66600 9.55379e-19
89.66610 9.32980e-18
89.66620 1.46358e-17
89.66630 1.43894e-17
89.66640 8.49201e-18
89.66650 -4.53742e-19
89.66660 -8.77025e-18
89.66670 -1.33718e-17
89.66680 -1.26188e-17
89.66690 -6.61865e-18
89.66700 2.85915e-18
89.66710 1.27258e-17
89.66720 1.95726e-17
89.66730 2.13078e-17
89.66740 1.84268e-17
89.66750 1.34978e-17
89.66760 9.43272e-18
89.66770 8.01120e-18
89.66780 9.32822e-18
89.66790 1.19343e-17
89.66800 1.34993e-17
89.66810 1.21876e-17
89.66820 7.72906e-18
89.66830 1.63206e-18
89.66840 -3.83545e-18
89.66850 -6.74515e-18
89.66860 -6.47559e-18
89.66870 -3.92580e-18
89.66880 -1.14177e-18
89.66890 -4.70058e-19
89.66900 -3.18382e-18
89.66910 -8.52823e-18
89.66920 -1.40916e-17
89.66930 -1.70281e-17
89.66940 -1.52385e-17
89.66950 -7.96537e-18
89.66960 3.57751e-18
89.66970 1.63421e-17
89.66980 2.59721e-17
89.66990 2.87636e-17
89.67000 2.40301e-17
89.67010 1.47351e-17
89.67020 5.41940e-18
89.67030 -4.25853e-19
89.67040 -1.23442e-18
89.67050 2.50210e-18
89.67060 8.50571e-18
89.67070 1.32588e-17
89.67080 1.37696e-17
89.67090 9.16667e-18
89.67100 1.22022e-18
89.67110 -6.94094e-18
89.67120 -1.23554e-17
89.67130 -1.34220e-17
89.67140 -1.01849e-17
89.67150 -4.00381e-18
89.67160 2.76514e-18
89.67170 7.55187e-18
89.67180 8.94748e-18
89.67190 7.14068e-18
89.67200 3.64511e-18
89.67210 1.60063e-19
89.67220 -2.24585e-18
89.67230 -3.59513e-18
89.67240 -4.68732e-18
89.67250 -6.41402e-18
89.67260 -9.09789e-18
89.67270 -1.20582e-17
89.67280 -1.38319e-17
89.67290 -1.28781e-17
89.67300 -8.13321e-18
89.67310 4.83664e-19
89.67320 1.18890e-17
89.67330 2.35002e-17
89.67340 3.23427e-17
89.67350 3.60702e-17
89.67360 3.43599e-17
89.67370 2.89252e-17
89.67380 2.25045e-17
89.67390 1.73171e-17
89.67400 1.42748e-17
89.67410 1.31135e-17
89.67420 1.27621e-17
89.67430 1.20248e-17
89.67440 1.02715e-17
89.67450 7.76160e-18
89.67460 5.43225e-18
89.67470 4.30892e-18
89.67480 4.94630e-18
89.67490 7.06692e-18
89.67500 9.63015e-18
89.67510 1.12617e-17
89.67520 1.09383e-17
89.67530 8.53961e-18
89.67540 4.98461e-18
89.67550 1.75336e-18
89.67560 4.97310e-20
89.67570 3.61153e-19
89.67580 2.23686e-18
89.67590 4.46451e-18
89.67600 5.53959e-18
89.67610 4.53142e-18
89.67620 1.60889e-18
89.67630 -2.02872e-18
89.67640 -4.65787e-18
89.67650 -4.85630e-18
89.67660 -2.11105e-18
89.67670 2.99768e-18
89.67680 8.75894e-18
89.67690 1.27657e-17
89.67700 1.27879e-17
89.67710 8.11344e-18
89.67720 -1.43041e-19
89.67730 -9.60734e-18
89.67740 -1.78285e-17
89.67750 -2.28665e-17
89.67760 -2.38003e-17
89.67770 -2.06760e-17
89.67780 -1.42870e-17
89.67790 -6.02476e-18
89.67800 2.32075e-18
89.67810 8.91402e-18
89.67820 1.26805e-17
89.67830 1.33642e-17
89.67840 1.16080e-17
89.67850 8.49216e-18
89.67860 5.18062e-18
89.67870 2.44920e-18
89.67880 6.12076e-19
89.67890 -4.47265e-19
89.67900 -1.17543e-18
89.67910 -2.13518e-18
89.67920 -3.76010e-18
89.67930 -6.14559e-18
89.67940 -8.93342e-18
89.67950 -1.13998e-17
89.67960 -1.26847e-17
89.67970 -1.20449e-17
89.67980 -9.19127e-18
89.67990 -4.39578e-18
89.68000 1.41287e-18
89.68010 6.83809e-18
89.68020 1.02933e-17
89.68030 1.07402e-17
89.68040 8.18256e-18
89.68050 3.61801e-18
89.68060 -1.42499e-18
89.68070 -5.50248e-18
89.68080 -7.64503e-18
89.68090 -7.69598e-18
89.68100 -6.09776e-18
89.68110 -3.67614e-18
89.68120 -1.37462e-18
89.68130 2.15084e-19
89.68140 1.02460e-18
89.68150 1.43334e-18
89.68160 2.01848e-18
89.68170 3.19648e-18
89.68180 4.99681e-18
89.68190 7.04570e-18
89.68200 8.71027e-18
89.68210 9.38867e-18
89.68220 8.76994e-18
89.68230 6.97855e-18
89.68240 4.42872e-18
89.68250 1.58665e-18
89.68260 -1.23204e-18
89.68270 -3.95959e-18
89.68280 -6.61289e-18
89.68290 -9.15885e-18
89.68300 -1.13738e-17
89.68310 -1.27670e-17
89.68320 -1.27235e-17
89.68330 -1.07323e-17
89.68340 -6.67102e-18
89.68350 -9.38104e-19
89.68360 5.48317e-18
89.68370 1.11914e-17
89.68380 1.48306e-17
89.68390 1.55927e-17
89.68400 1.36959e-17
89.68410 1.02139e-17
89.68420 6.54231e-18
89.68430 3.84657e-18
89.68440 2.71724e-18
89.68450 3.09806e-18
89.68460 4.38757e-18
89.68470 5.81209e-18
89.68480 6.77524e-18
89.68490 7.15493e-18
89.68500 7.34097e-18
89.68510 8.01939e-18
89.68520 9.79848e-18
89.68530 1.28579e-17
89.68540 1.67998e-17
89.68550 2.05763e-17
89.68560 2.28285e-17
89.68570 2.24823e-17
89.68580 1.92387e-17
89.68590 1.38211e-17
89.68600 7.72827e-18
89.68610 2.83862e-18
89.68620 6.40059e-19
89.68630 2.08778e-18
89.68640 7.52721e-18
89.68650 1.63162e-17
89.68660 2.69460e-17
89.68670 3.70168e-17
89.68680 4.36154e-17
89.68690 4.43376e-17
89.68700 3.85450e-17
89.68710 2.78320e-17
89.68720 1.50958e-17
89.68730 3.32957e-18
89.68740 -5.19627e-18
89.68750 -9.16445e-18
89.68760 -8.11007e-18
89.68770 -2.50025e-18
89.68780 6.40016e-18
89.68790 1.65393e-17
89.68800 2.54033e-17
89.68810 3.05616e-17
89.68820 3.06549e-17
89.68830 2.60695e-17
89.68840 1.84399e-17
89.68850 9.84128e-18
89.68860 1.96501e-18
89.68870 -4.01840e-18
89.68880 -7.79433e-18
89.68890 -9.46892e-18
89.68900 -9.40725e-18
89.68910 -8.03085e-18
89.68920 -5.73459e-18
89.68930 -2.81188e-18
89.68940 5.32704e-19
89.68950 4.06695e-18
89.68960 7.50460e-18
89.68970 1.04785e-17
89.68980 1.25713e-17
89.68990 1.35583e-17
89.69000 1.34295e-17
89.69010 1.24566e-17
89.69020 1.11198e-17
89.69030 1.00031e-17
89.69040 9.58715e-18
89.69050 1.01351e-17
89.69060 1.16259e-17
89.69070 1.37452e-17
89.69080 1.59128e-17
89.69090 1.74096e-17
89.69100 1.76561e-17
89.69110 1.63735e-17
89.69120 1.37425e-17
89.69130 1.04648e-17
89.69140 7.45246e-18
89.69150 5.61270e-18
89.69160 5.55580e-18
89.69170 7.43419e-18
89.69180 1.07470e-17
89.69190 1.44310e-17
89.69200 1.71317e-17
89.69210 1.76530e-17
89.69220 1.54966e-17
89.69230 1.11796e-17
89.69240 6.10692e-18
89.69250 1.84602e-18
89.69260 -3.28429e-19
89.69270 1.65219e-19
89.69280 3.11784e-18
89.69290 7.47295e-18
89.69300 1.17201e-17
89.69310 1.44306e-17
89.69320 1.48729e-17
89.69330 1.33736e-17
89.69340 1.11704e-17
89.69350 9.81234e-18
89.69360 1.04333e-17
89.69370 1.33816e-17
89.69380 1.80626e-17
89.69390 2.30803e-17
89.69400 2.65453e-17
89.69410 2.70494e-17
89.69420 2.42784e-17
89.69430 1.91842e-17
89.69440 1.34873e-17
89.69450 9.03162e-18
89.69460 7.16264e-18
89.69470 8.42754e-18
89.69480 1.26956e-17
89.69490 1.92199e-17
89.69500 2.68223e-17
89.69510 3.39017e-17
89.69520 3.90517e-17
89.69530 4.11819e-17
89.69540 3.98389e-17
89.69550 3.52865e-17
89.69560 2.85750e-17
89.69570 2.11519e-17
89.69580 1.45056e-17
89.69590 9.94350e-18
89.69600 8.31593e-18
89.69610 9.85716e-18
89.69620 1.39633e-17
89.69630 1.92720e-17
89.69640 2.38449e-17
89.69650 2.58009e-17
89.69660 2.41536e-17
89.69670 1.94648e-17
89.69680 1.34886e-17
89.69690 8.32605e-18
89.69700 5.57730e-18
89.69710 5.85798e-18
89.69720 8.61576e-18
89.69730 1.23121e-17
89.69740 1.49871e-17
89.69750 1.51136e-17
89.69760 1.24407e-17
89.69770 8.26368e-18
89.69780 4.63552e-18
89.69790 3.46653e-18
89.69800 5.81423e-18
89.69810 1.16005e-17
89.69820 1.93957e-17
89.69830 2.68578e-17
89.69840 3.16262e-17
89.69850 3.23558e-17
89.69860 2.94999e-17
89.69870 2.49285e-17
89.69880 2.08676e-17
89.69890 1.86264e-17
89.69900 1.82647e-17
89.69910 1.86369e-17
89.69920 1.79347e-17
