    35     19    4
Wavelength (Angstroms)
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
H2           + hv           = HP           + H            + E            +             684.8
  8.376E-02  6.725E-02  5.347E-02  4.075E-02  2.849E-02  1.790E-02  4.313E-03  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
H2           + hv           = H            + H            +              +             835.0
  1.624E-01  3.275E-01  4.653E-01  5.925E-01  7.151E-01  8.210E-01  9.569E-01  1.000E+00  1.000E+00  1.000E+00
  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00
  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00
  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00
O           1
Total Absorption Cross Section (cm^2)
  5.229E-18  8.589E-18  4.934E-18  3.886E-18  3.997E-18  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
Total Ionization Cross Section (cm^2)
  1.126E-17  1.201E-17  1.260E-17  1.338E-17  9.209E-18  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
O            + hv           = OP           + E            +              +             910.4
  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
O2          2
Total Absorption Cross Section (cm^2)
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.613E-17  3.120E-17  2.888E-17  1.897E-17  1.621E-17
  1.084E-17  8.862E-18  8.114E-18  8.943E-18  8.488E-18  8.412E-18  9.404E-18  1.054E-17  9.316E-18  1.466E-17
  1.489E-17  1.479E-17  1.456E-17  1.232E-17  1.026E-17  6.697E-18  3.170E-18  2.131E-18  3.360E-18  1.224E-18
  1.319E-18  1.039E-18  1.573E-18  1.430E-18  7.241E-19
Total Ionization Cross Section (cm^2)
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.000E-17  9.728E-18  9.829E-18  6.962E-18  6.490E-18
  4.183E-18  3.932E-18  3.920E-18  5.368E-18  5.342E-18  5.770E-18  6.839E-18  7.022E-18  7.300E-18  1.012E-17
